风速(m/s),风向,室外温度,电网有功功率
8.88,-1.06,10.41,"2,283.70"
9.77,0.64,10.45,"2,742.57"
10.03,3.96,10.2,"2,701.22"
9.34,-2.41,10.27,"2,501.61"
9,-2.11,10.19,"2,356.75"
9.07,-4.68,10.13,"2,420.01"
9.99,4.04,10.12,"2,724.92"
9.5,-3.62,10,"2,622.96"
9.75,5.79,9.83,"2,476.15"
9.05,1.95,10.17,"1,758.77"
9.34,-5,9.93,"2,616.86"
9.5,-4.3,9.73,"2,637.07"
9.2,-5.88,9.77,"2,585.33"
9.56,-2.6,9.57,"2,632.59"
9.92,-0.69,9.54,"2,875.09"
10.33,-4.21,9.42,"3,021.41"
10.15,-1.77,9.22,"2,960.81"
10.08,0.13,9.38,"2,956.28"
10.04,-3.94,9.13,"3,028.32"
10.26,-3.64,9.29,"3,005.17"
10.33,-5.21,8.85,"3,035.54"
10.44,-5.8,8.81,"3,048.91"
10.64,0.91,8.71,"3,031.00"
10.48,-1.38,8.6,"3,042.52"
10.74,-1.03,8.56,"3,048.31"
11.11,-3,8.37,"3,051.91"
11.15,0.75,8.55,"3,029.70"
10.83,-3.74,8.18,"3,047.09"
10.89,-1.17,8.22,"3,051.07"
9.91,-3.41,8.16,"2,949.88"
9.96,-4.06,8.04,"2,842.99"
9.8,2.78,8.07,"2,719.61"
9.8,4.23,8.1,"2,596.58"
9.11,1.59,7.85,"2,192.83"
9.01,-3.53,7.91,"2,313.22"
9.36,0.53,8,"2,487.58"
8.92,-3.38,7.73,"1,882.83"
9.32,3.44,7.66,"2,260.92"
8.59,-0.74,7.79,"2,157.45"
9.3,5.04,7.87,"2,324.43"
8.75,-0.99,7.81,"2,206.91"
8.57,-2.42,7.79,"2,084.05"
9.03,-5.02,7.94,"2,453.15"
10.03,-1.36,7.79,"2,867.26"
9.6,-1.83,7.74,"2,754.85"
9.51,-2.93,7.78,"2,768.65"
10.07,1.12,7.71,"2,860.93"
10.04,3.45,7.78,"2,716.22"
9.84,2.52,8.16,"2,723.95"
10.05,-1.21,8.09,"2,845.82"
9.88,2.3,8.4,"1,977.08"
10.32,1.51,8.35,"2,941.17"
10.36,3.96,8.34,"2,939.52"
10.78,2.88,8.42,"3,015.20"
10.15,0.56,8.74,"2,929.75"
10.72,2.41,8.54,"2,991.39"
10.29,1.74,8.52,"2,918.44"
10.39,0.34,8.66,"2,860.90"
10.87,4.47,8.54,"2,987.19"
9.95,-1.62,8.86,"2,763.31"
9.15,-4.8,8.77,"2,437.60"
8.7,-5.65,9.93,"2,100.47"
8.63,-4.24,8.95,"2,066.53"
8.74,-0.96,9.13,"2,034.83"
8.05,0.73,9.79,"1,715.07"
